	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101684	0.0395373	0.0200471	0.0111063	0.00643744	0.00375432	0.00206545	0.00119555	0.00061298	0.00026647
d1_1	0.267546	0.0243318	0.0157917	0.0114609	0.00848363	0.00602495	0.00430357	0.00314955	0.00204071	0.00125643	0.000792543
d1_2	0.0820758	0.0144985	0.0102165	0.00845751	0.00701121	0.00559102	0.00452755	0.00352322	0.00267735	0.00181944	0.00143208
d1_3	0.0339545	0.00930618	0.00757654	0.00660043	0.0059205	0.0050608	0.00447436	0.00366503	0.00297635	0.00230932	0.00219474
d1_4	0.0161115	0.00648696	0.0055049	0.00504698	0.00496106	0.00456361	0.00414702	0.00366273	0.00327971	0.00292558	0.00325947
d1_5	0.00807162	0.00417445	0.0040225	0.00397683	0.00411773	0.0040331	0.00392615	0.00369718	0.00346143	0.0033103	0.00458097
d1_6	0.00410308	0.00270552	0.0027299	0.00293478	0.00316066	0.00334414	0.00347978	0.00331687	0.00342625	0.00373995	0.00597387
d1_7	0.0019153	0.00151764	0.00174742	0.00207202	0.00240922	0.00254748	0.00294515	0.00299336	0.00326559	0.00372542	0.00785527
d1_8	0.000801238	0.000823857	0.00116238	0.00136101	0.00161329	0.00198381	0.00223883	0.00261556	0.00288753	0.00369415	0.0101771
d1_9	0.00031948	0.000396162	0.000577214	0.000805102	0.000920734	0.00119207	0.00156434	0.0018916	0.00244519	0.00322015	0.0127207
d1_10	7.15719e-05	0.000113531	0.000180068	0.000268901	0.000424985	0.000560114	0.000846555	0.00111126	0.00162256	0.00240182	0
