	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.102897	0.0399333	0.0203287	0.0112984	0.00637369	0.00378374	0.00207779	0.00120102	0.00058613	0.000288676
d1_1	0.271363	0.0244612	0.01557	0.0113116	0.00842374	0.00605384	0.00423473	0.00291363	0.00198432	0.00124163	0.000803594
d1_2	0.082256	0.0142821	0.0103178	0.00815072	0.00688287	0.00544332	0.00442314	0.00347327	0.00270983	0.00192353	0.00153148
d1_3	0.0337974	0.00942599	0.0074353	0.00642796	0.00564185	0.00512612	0.00436763	0.00363984	0.00305279	0.00243957	0.00229275
d1_4	0.015949	0.00622063	0.00534955	0.00494095	0.00474062	0.00433403	0.00418477	0.0036733	0.00322046	0.0029768	0.00323475
d1_5	0.00802303	0.00424296	0.00392402	0.00398698	0.00392248	0.00392488	0.00378192	0.00364717	0.00340745	0.00335477	0.00451243
d1_6	0.0039712	0.00270731	0.00272194	0.00285659	0.00314544	0.00315177	0.00328903	0.00329273	0.00336225	0.00354272	0.00596596
d1_7	0.00194488	0.00163719	0.00184217	0.00205419	0.00233858	0.00260463	0.00276501	0.00297167	0.0032185	0.00365548	0.00767318
d1_8	0.000928282	0.000896074	0.00115462	0.00133519	0.00153996	0.00181015	0.00220363	0.00244611	0.0029306	0.00361149	0.00996949
d1_9	0.000308683	0.00038173	0.000526022	0.000617357	0.000912868	0.00115776	0.00151199	0.00180651	0.00224597	0.00308574	0.0125611
d1_10	6.64982e-05	0.000132216	0.000175106	0.000261801	0.000456216	0.000567045	0.000848662	0.00110286	0.00161539	0.00239622	0
